stim_index,kind,stim_filename,nsd_id_73k,nsd_shared_pos,coco_id,coco_split,match_dist,match_mutual
942,scene,0942.bmp,68419,942,238001,train2017,1.4815476050417828,True
943,scene,0943.bmp,68472,943,238201,train2017,2.578231440966084,True
944,scene,0944.bmp,68742,944,239337,train2017,1.1884199821473982,True
945,scene,0945.bmp,68815,945,501739,train2017,2.23906484360354,True
946,scene,0946.bmp,68843,946,501867,train2017,0.9764014480202008,True
947,scene,0947.bmp,68859,947,501926,train2017,1.8143993386719317,True
948,scene,0948.bmp,68898,948,502058,train2017,2.281510095019168,True
949,scene,0949.bmp,69008,949,240278,train2017,0.8624880607042756,True
950,scene,0950.bmp,69026,950,502470,train2017,1.86968136252927,True
951,scene,0951.bmp,69031,951,214821,train2017,2.07025511613106,True
952,scene,0952.bmp,69131,952,502860,train2017,1.2861961289608044,True
953,scene,0953.bmp,69215,953,241026,train2017,0.8723331308240891,True
954,scene,0954.bmp,69241,954,40187,train2017,1.0257943598673627,True
955,scene,0955.bmp,69443,955,112805,train2017,1.9051661466150605,True
956,scene,0956.bmp,69503,956,242133,train2017,1.2503863034967069,True
957,scene,0957.bmp,69615,957,242631,train2017,1.8009020961729298,True
958,scene,0958.bmp,69617,958,433657,train2017,2.9837036874076293,True
959,scene,0959.bmp,69786,959,505486,train2017,1.6855486441467997,True
960,scene,0960.bmp,69814,960,505592,train2017,0.9953036896346514,True
961,scene,0961.bmp,69832,961,505643,train2017,1.5695360707845116,True
962,scene,0962.bmp,69840,962,505661,train2017,2.194448205368989,True
963,scene,0963.bmp,69855,963,505738,train2017,1.385904577904282,True
964,scene,0964.bmp,69919,964,243839,train2017,1.540335075962737,True
965,scene,0965.bmp,70039,965,244334,train2017,1.4027219541605742,True
966,scene,0966.bmp,70076,966,244476,train2017,1.2481883661522908,True
967,scene,0967.bmp,70096,967,244578,train2017,1.5902044737979057,True
968,scene,0968.bmp,70194,968,244967,train2017,1.3251267477709603,True
969,scene,0969.bmp,70233,969,434069,train2017,1.6465231319361686,True
970,scene,0970.bmp,70336,970,507642,train2017,2.0322314479200574,True
971,scene,0971.bmp,70361,971,507789,train2017,1.2242194611473551,True
972,scene,0972.bmp,70369,972,477852,train2017,2.151472602618449,True
973,scene,0973.bmp,70428,973,245895,train2017,1.6086895192452064,True
974,scene,0974.bmp,70506,974,246166,train2017,1.3589568357821196,True
975,scene,0975.bmp,70586,975,246453,train2017,1.048549917577377,True
976,scene,0976.bmp,70590,976,508612,train2017,0.9321475743291835,True
977,scene,0977.bmp,70672,977,246759,train2017,1.2007830646510844,True
978,scene,0978.bmp,70759,978,247121,train2017,1.7072054464712911,True
979,scene,0979.bmp,70765,979,509292,train2017,1.3254713782050191,True
980,scene,0980.bmp,70948,980,247893,train2017,2.4000489436317505,True
981,scene,0981.bmp,71026,981,510334,train2017,2.058648543117559,True
982,scene,0982.bmp,71187,982,510900,train2017,1.2605553057116428,True
983,scene,0983.bmp,71230,983,303637,train2017,1.4979497884933497,True
984,scene,0984.bmp,71233,984,511127,train2017,1.2471851362971993,True
985,scene,0985.bmp,71242,985,511165,train2017,1.5837599527788075,True
986,scene,0986.bmp,71411,986,216378,train2017,2.6171211291502545,True
987,scene,0987.bmp,71451,987,249905,train2017,1.7953688838352315,True
988,scene,0988.bmp,71754,988,251084,train2017,2.052916586616077,True
989,scene,0989.bmp,71895,989,304092,train2017,1.5404043364283253,True
990,scene,0990.bmp,71929,990,251818,train2017,1.7815388848327203,True
991,scene,0991.bmp,72016,991,252160,train2017,1.2065172235899535,True
992,scene,0992.bmp,72081,992,514563,train2017,1.842253277787102,True
993,scene,0993.bmp,72171,993,514955,train2017,2.0958695562003276,True
994,scene,0994.bmp,72210,994,515102,train2017,1.4743371254096458,True
995,scene,0995.bmp,72258,995,515296,train2017,1.2719626254658156,True
996,scene,0996.bmp,72313,996,515508,train2017,0.848157450902032,True
997,scene,0997.bmp,72511,997,254130,train2017,0.6144180160694933,True
998,scene,0998.bmp,72606,998,516634,train2017,0.8102387030597403,True
999,scene,0999.bmp,72720,999,304627,train2017,1.1311917074979163,True
1000,scene,1000.bmp,72949,1000,517878,train2017,1.2201171898225815,True
1001,localizer,MFOB001.bmp,,,,,,
1002,localizer,MFOB002.bmp,,,,,,
1003,localizer,MFOB003.bmp,,,,,,
1004,localizer,MFOB004.bmp,,,,,,
1005,localizer,MFOB005.bmp,,,,,,
1006,localizer,MFOB006.bmp,,,,,,
1007,localizer,MFOB007.bmp,,,,,,
1008,localizer,MFOB008.bmp,,,,,,
1009,localizer,MFOB009.bmp,,,,,,
1010,localizer,MFOB010.bmp,,,,,,
1011,localizer,MFOB011.bmp,,,,,,
1012,localizer,MFOB012.bmp,,,,,,
1013,localizer,MFOB013.bmp,,,,,,
1014,localizer,MFOB014.bmp,,,,,,
1015,localizer,MFOB015.bmp,,,,,,
1016,localizer,MFOB016.bmp,,,,,,
1017,localizer,MFOB017.bmp,,,,,,
1018,localizer,MFOB018.bmp,,,,,,
1019,localizer,MFOB019.bmp,,,,,,
1020,localizer,MFOB020.bmp,,,,,,
1021,localizer,MFOB021.bmp,,,,,,
1022,localizer,MFOB022.bmp,,,,,,
1023,localizer,MFOB023.bmp,,,,,,
1024,localizer,MFOB024.bmp,,,,,,
1025,localizer,MFOB025.bmp,,,,,,
1026,localizer,MFOB026.bmp,,,,,,
1027,localizer,MFOB027.bmp,,,,,,
1028,localizer,MFOB028.bmp,,,,,,
1029,localizer,MFOB029.bmp,,,,,,
1030,localizer,MFOB030.bmp,,,,,,
1031,localizer,MFOB031.bmp,,,,,,
1032,localizer,MFOB032.bmp,,,,,,
1033,localizer,MFOB033.bmp,,,,,,
1034,localizer,MFOB034.bmp,,,,,,
1035,localizer,MFOB035.bmp,,,,,,
1036,localizer,MFOB036.bmp,,,,,,
1037,localizer,MFOB037.bmp,,,,,,
1038,localizer,MFOB038.bmp,,,,,,
1039,localizer,MFOB039.bmp,,,,,,
1040,localizer,MFOB040.bmp,,,,,,
1041,localizer,MFOB041.bmp,,,,,,
1042,localizer,MFOB042.bmp,,,,,,
1043,localizer,MFOB043.bmp,,,,,,
1044,localizer,MFOB044.bmp,,,,,,
1045,localizer,MFOB045.bmp,,,,,,
1046,localizer,MFOB046.bmp,,,,,,
1047,localizer,MFOB047.bmp,,,,,,
